gene_id,vespula_Diseased_1,vespula_Diseased_2,vespula_Diseased_3,vespula_Healthy_1,vespula_Healthy_2,vespula_Healthy_3
FUN_012448,5005,10803,12536,18383,14637,34569
FUN_016537,300,426,479,247,353,134
FUN_016536,526,615,1222,634,395,27
FUN_006817,0,0,0,0,2,0
FUN_016534,0,0,0,0,0,0
FUN_006811,952,1223,1747,1439,1359,266
FUN_016532,98,126,158,232,163,18
FUN_006813,5024,6390,6864,2187,2759,232
FUN_006812,105,124,131,104,138,3
FUN_008670,351,414,398,212,317,22
FUN_006819,337,246,344,204,227,33
FUN_006818,0,0,0,0,0,0
FUN_016539,1613,1098,1592,1682,1692,218
FUN_015270,0,0,0,0,0,0
FUN_010791,57,70,89,134,90,54
FUN_010467,289,350,299,370,299,24
FUN_010793,10,34,20,18,36,32
FUN_010792,13,0,13,0,11,0
FUN_010795,0,0,0,0,0,0
FUN_010794,0,0,0,0,0,0
FUN_010797,605,737,1184,936,618,45
FUN_015146,0,0,0,0,0,0
FUN_010799,4,4,9,10,14,8
FUN_010798,1073,1651,2934,2667,1412,425
FUN_015145,0,0,0,0,0,0
FUN_004210,2572,1434,1828,2356,2485,503
FUN_004146,1569,1244,1473,1832,1268,59
FUN_004141,232,214,244,175,192,21
FUN_015142,0,0,0,0,0,0
FUN_005577,5,5,11,10,10,0
FUN_000488,0,0,0,0,0,0
FUN_010461,1179,698,970,1093,1254,96
FUN_000056,0,0,0,0,3,0
FUN_010460,27,43,40,83,114,56
FUN_005575,409,641,399,416,338,52
FUN_004880,55,37,59,55,43,118
FUN_003361,26,4,9,2,3,0
FUN_004882,265,216,373,342,516,78
FUN_003363,8,3,3,0,2,0
FUN_004884,36,16,18,27,52,9
FUN_003365,0,0,0,0,0,0
FUN_004886,8,12,16,10,0,3
FUN_003367,5,0,0,5,0,0
FUN_004888,32,23,48,42,45,19
FUN_000053,6,0,0,0,4,3
FUN_005572,3,0,0,0,0,0
FUN_005571,0,0,0,0,0,0
FUN_000050,0,0,4,0,0,0
FUN_004148,30,18,23,22,14,0
FUN_003555,11,25,18,108,47,7
FUN_015149,0,0,0,1,0,0
FUN_015148,0,0,0,0,0,0
FUN_006652,1358,773,1135,1035,1699,113
FUN_014224,69,80,121,107,91,20
FUN_000609,693,751,898,850,1077,63
FUN_006315,1,0,2,0,0,0
FUN_011274,803,768,1248,717,829,384
FUN_013314,0,0,0,0,0,0
FUN_001639,144,66,32,79,131,0
FUN_013316,0,0,0,0,0,0
FUN_004548,18,3,18,17,15,22
FUN_013310,0,0,0,0,0,0
FUN_014471,43,36,26,38,43,0
FUN_013312,0,0,0,0,0,0
FUN_013313,0,0,0,0,0,0
FUN_001630,0,0,0,0,1,0
FUN_001631,669,941,525,613,898,69
FUN_001632,43,75,73,66,45,69
FUN_005578,8251,4260,17803,6302,7034,83
FUN_014478,35,21,23,5,9,0
FUN_001635,34,31,34,32,19,36
FUN_001636,598,459,536,383,507,425
FUN_001637,1003,269,462,184,324,96
FUN_007289,220,73,101,69,65,0
FUN_007288,470,328,390,792,306,3
FUN_007287,512,339,643,415,321,254
FUN_007286,77,45,59,60,87,3
FUN_007285,196,239,265,366,288,11
FUN_007284,58,51,53,349,180,25
FUN_007283,188,209,281,277,241,140
FUN_007282,1090,1621,3493,2475,2686,96
FUN_007281,145,265,403,794,262,7
FUN_007280,5,22,10,15,17,0
FUN_011446,397,635,383,642,749,187
FUN_000948,4,6,0,5,3,19
FUN_011444,11,20,18,21,10,1
FUN_011445,8,31,13,26,22,14
FUN_011442,70,72,129,67,134,27
FUN_015277,0,0,4,2,0,2
FUN_011440,1015,859,1123,1259,1323,48
FUN_011441,23,11,29,81,35,0
FUN_000941,1278,1050,1180,1287,907,81
FUN_000940,91,106,97,112,176,11
FUN_000943,0,0,0,0,0,0
FUN_000942,396,355,329,305,229,146
FUN_000945,0,0,0,0,0,0
FUN_000944,0,0,0,3,0,0
FUN_000947,0,0,0,0,0,0
FUN_005632,24,41,28,33,30,21
FUN_013178,10,9,49,0,8,0
FUN_006313,0,0,0,0,0,0
FUN_003948,0,0,0,0,0,0
FUN_003949,219,158,297,97,144,10
FUN_014788,522,371,706,749,1028,386
FUN_014789,1361,1934,5810,4103,5165,43
FUN_003944,81,111,114,105,70,17
FUN_014787,10,5,3,25,24,5
FUN_014784,1649,1650,2205,2468,1453,142
FUN_013173,0,0,0,0,0,0
FUN_014782,0,0,0,7,5,3
FUN_003941,0,0,0,0,0,0
FUN_014780,16,17,33,31,29,31
FUN_014781,71,58,105,51,35,12
FUN_016893,13,0,0,3,7,0
FUN_009047,0,0,0,0,0,0
FUN_009730,0,0,0,1,0,0
FUN_009733,239,306,321,332,391,64
FUN_009732,433,507,497,531,703,84
FUN_009735,8,0,0,0,2,0
FUN_009734,115,103,109,105,166,7
FUN_002017,61,86,83,116,137,0
FUN_009040,0,0,0,0,0,0
FUN_002019,250,219,311,272,257,238
FUN_009738,59,52,83,36,90,17
FUN_009049,0,0,0,0,0,0
FUN_009048,9,5,9,7,2,0
FUN_012451,46,7,9,58,10,0
FUN_007546,0,0,0,0,0,0
FUN_009283,149,63,152,96,108,47
FUN_015278,0,0,0,0,0,0
FUN_009045,0,0,0,0,0,0
FUN_009284,66,44,92,59,95,41
FUN_015785,288,142,227,170,271,10
FUN_015784,76,75,129,61,120,4
FUN_015787,0,0,2,0,0,2
FUN_015786,10,9,11,31,11,2
FUN_015781,0,0,0,0,0,0
FUN_015780,0,0,0,0,0,0
FUN_015783,34,2,18,7,13,0
FUN_015782,56,22,30,44,37,0
FUN_015789,219,689,949,1564,742,238
FUN_015788,207,116,261,177,142,40
FUN_011453,12,8,2,16,9,13
FUN_002606,46,29,25,152,84,52
